sp_I_05,fA_I_05,fB_I_05,qs_I_05,time_05
0.9769145,1.0394511,1.0289668,1.0330992,2014-09-24 17:51:40.483
0.977975,1.0407739,1.0300754,1.0343876,2014-09-24 17:51:41.483
0.9761156,1.0395758,1.0290139,1.0329537,2014-09-24 17:51:42.483
0.97725075,1.0400491,1.0289805,1.0340656,2014-09-24 17:51:43.483
0.97755665,1.0402734,1.0290366,1.0341429,2014-09-24 17:51:44.483
0.97818244,1.0415299,1.0305717,1.035445,2014-09-24 17:51:45.483
0.9792229,1.0418732,1.0309361,1.0351073,2014-09-24 17:51:46.483
0.977741,1.0392189,1.0284061,1.0338739,2014-09-24 17:51:47.483
0.9769744,1.0390165,1.0283101,1.033672,2014-09-24 17:51:48.483
0.9786234,1.0396314,1.029052,1.0341411,2014-09-24 17:51:49.483
0.97744626,1.0393555,1.0279102,1.0335261,2014-09-24 17:51:50.483
0.9772056,1.038756,1.0278227,1.0320009,2014-09-24 17:51:51.483
0.9788431,1.0403761,1.029569,1.0344235,2014-09-24 17:51:52.483
0.98093295,1.0415881,1.029644,1.0345976,2014-09-24 17:51:53.483
0.9794368,1.0417304,1.0309598,1.0357281,2014-09-24 17:51:54.483
0.9767233,1.0387363,1.0279027,1.0335853,2014-09-24 17:51:55.483
0.9794624,1.0423892,1.0314782,1.0363314,2014-09-24 17:51:56.483
0.9791647,1.039845,1.0288646,1.0338311,2014-09-24 17:51:57.483
0.97830373,1.0411682,1.030218,1.0351454,2014-09-24 17:51:58.483
0.97907233,1.0415598,1.030207,1.0351392,2014-09-24 17:51:59.483
0.9792514,1.0423691,1.0305525,1.034939,2014-09-24 17:52:00.483
0.9783198,1.040336,1.0290334,1.0342202,2014-09-24 17:52:01.483
0.9793874,1.0412062,1.0303307,1.0345125,2014-09-24 17:52:02.483
0.9784083,1.0409253,1.0294716,1.0339335,2014-09-24 17:52:03.483
0.9776477,1.0401647,1.0293435,1.0340605,2014-09-24 17:52:04.483
0.97843015,1.0413747,1.0304105,1.0355085,2014-09-24 17:52:05.483
0.97791815,1.040041,1.0291378,1.0340337,2014-09-24 17:52:06.483
0.9781735,1.0415626,1.0309191,1.0356525,2014-09-24 17:52:07.483
0.97772604,1.0399764,1.0296315,1.03441,2014-09-24 17:52:08.483
0.9788114,1.0416617,1.0301517,1.0355388,2014-09-24 17:52:09.483
0.9798053,1.0417612,1.0305884,1.0352107,2014-09-24 17:52:10.483
0.97917134,1.0418029,1.0303998,1.0356312,2014-09-24 17:52:11.483
0.9778756,1.0405191,1.0295452,1.0344003,2014-09-24 17:52:12.483
0.9756749,1.0402725,1.0291542,1.0335226,2014-09-24 17:52:13.483
0.9785785,1.0399071,1.0281144,1.0323375,2014-09-24 17:52:14.483
0.9774462,1.0395563,1.0277455,1.0331519,2014-09-24 17:52:15.483
0.9772698,1.0400956,1.0280554,1.0336937,2014-09-24 17:52:16.483
0.9771611,1.0401101,1.0286586,1.0334312,2014-09-24 17:52:17.483
0.9783025,1.0404574,1.0292445,1.0334243,2014-09-24 17:52:18.483
0.9781818,1.0394078,1.0274655,1.0332247,2014-09-24 17:52:19.483
0.9777168,1.040188,1.0296097,1.035068,2014-09-24 17:52:20.483
0.97816205,1.0403361,1.0300673,1.0345405,2014-09-24 17:52:21.483
0.978239,1.0409528,1.0294807,1.0346256,2014-09-24 17:52:22.483
0.97932094,1.0413028,1.0303379,1.0348774,2014-09-24 17:52:23.483
0.9786868,1.041328,1.0309105,1.035117,2014-09-24 17:52:24.483
0.9789052,1.0414968,1.0305775,1.0344794,2014-09-24 17:52:25.483
0.97918046,1.0407798,1.0305289,1.0351154,2014-09-24 17:52:26.483
0.977902,1.041021,1.0308042,1.0346243,2014-09-24 17:52:27.483
0.97957665,1.0424347,1.0318359,1.0359462,2014-09-24 17:52:28.483
0.9777347,1.0404665,1.0308087,1.0353916,2014-09-24 17:52:29.483
